user_id,email,username,user_type,total_spent,order_count
92,seeded.user.85@example.com,seeded_user_85,user,3432.95,12.0
93,seeded.user.86@example.com,seeded_user_86,user,1320.42,6.0
94,seeded.user.87@example.com,seeded_user_87,user,1833.5900000000001,8.0
95,seeded.user.88@example.com,seeded_user_88,user,1405.49,9.0
96,seeded.user.89@example.com,seeded_user_89,user,1737.77,10.0
97,seeded.user.90@example.com,seeded_user_90,user,2366.78,14.0
98,seeded.user.91@example.com,seeded_user_91,user,2434.2200000000003,11.0
99,seeded.user.92@example.com,seeded_user_92,user,2465.63,10.0
100,seeded.user.93@example.com,seeded_user_93,user,1019.26,6.0
101,seeded.user.94@example.com,seeded_user_94,user,2034.96,10.0
102,seeded.user.95@example.com,seeded_user_95,user,2640.23,12.0
103,seeded.user.96@example.com,seeded_user_96,user,2079.79,11.0
104,seeded.user.97@example.com,seeded_user_97,user,1851.95,9.0
105,seeded.user.98@example.com,seeded_user_98,user,2869.96,13.0
106,seeded.user.99@example.com,seeded_user_99,user,1644.81,10.0
107,seeded.user.100@example.com,seeded_user_100,user,3009.82,14.0
