id,email,username,user_type,user_id,total_spent,order_count,cluster
41,seeded.user.34@example.com,seeded_user_34,user,41.0,3266.0,15.0,0
42,seeded.user.35@example.com,seeded_user_35,user,42.0,1776.41,13.0,1
43,seeded.user.36@example.com,seeded_user_36,user,43.0,2377.45,15.0,1
44,seeded.user.37@example.com,seeded_user_37,user,44.0,1558.8999999999999,10.0,2
45,seeded.user.38@example.com,seeded_user_38,user,45.0,1944.25,12.0,1
46,seeded.user.39@example.com,seeded_user_39,user,46.0,2845.0699999999997,10.0,0
47,seeded.user.40@example.com,seeded_user_40,user,47.0,2143.29,10.0,1
48,seeded.user.41@example.com,seeded_user_41,user,48.0,3499.22,17.0,0
49,seeded.user.42@example.com,seeded_user_42,user,49.0,2201.0299999999997,16.0,1
50,seeded.user.43@example.com,seeded_user_43,user,50.0,1937.07,9.0,1
51,seeded.user.44@example.com,seeded_user_44,user,51.0,3300.3,13.0,0
52,seeded.user.45@example.com,seeded_user_45,user,52.0,1951.91,14.0,1
53,seeded.user.46@example.com,seeded_user_46,user,53.0,1472.76,9.0,2
54,seeded.user.47@example.com,seeded_user_47,user,54.0,1526.06,11.0,2
55,seeded.user.48@example.com,seeded_user_48,user,55.0,2173.7400000000002,12.0,1
56,seeded.user.49@example.com,seeded_user_49,user,56.0,1156.06,11.0,2
57,seeded.user.50@example.com,seeded_user_50,user,57.0,1418.45,13.0,2
58,seeded.user.51@example.com,seeded_user_51,user,58.0,1541.81,12.0,2
59,seeded.user.52@example.com,seeded_user_52,user,59.0,1497.18,11.0,2
60,seeded.user.53@example.com,seeded_user_53,user,60.0,2874.33,15.0,0
61,seeded.user.54@example.com,seeded_user_54,user,61.0,1156.6599999999999,5.0,2
62,seeded.user.55@example.com,seeded_user_55,user,62.0,1872.56,10.0,1
63,seeded.user.56@example.com,seeded_user_56,user,63.0,1224.58,13.0,2
64,seeded.user.57@example.com,seeded_user_57,user,64.0,3064.6,15.0,0
65,seeded.user.58@example.com,seeded_user_58,user,65.0,2674.37,10.0,1
66,seeded.user.59@example.com,seeded_user_59,user,66.0,1638.49,12.0,2
67,seeded.user.60@example.com,seeded_user_60,user,67.0,1310.06,9.0,2
68,seeded.user.61@example.com,seeded_user_61,user,68.0,1764.52,11.0,1
69,seeded.user.62@example.com,seeded_user_62,user,69.0,4785.96,16.0,0
70,seeded.user.63@example.com,seeded_user_63,user,70.0,2100.22,11.0,1
71,seeded.user.64@example.com,seeded_user_64,user,71.0,1012.49,9.0,2
72,seeded.user.65@example.com,seeded_user_65,user,72.0,1287.71,7.0,2
73,seeded.user.66@example.com,seeded_user_66,user,73.0,2784.75,12.0,1
74,seeded.user.67@example.com,seeded_user_67,user,74.0,2482.64,15.0,1
75,seeded.user.68@example.com,seeded_user_68,user,75.0,2195.4500000000003,14.0,1
76,seeded.user.69@example.com,seeded_user_69,user,76.0,2096.2400000000002,15.0,1
77,seeded.user.70@example.com,seeded_user_70,user,77.0,1426.94,10.0,2
78,seeded.user.71@example.com,seeded_user_71,user,78.0,2189.19,12.0,1
79,seeded.user.72@example.com,seeded_user_72,user,79.0,1966.1,12.0,1
80,seeded.user.73@example.com,seeded_user_73,user,80.0,2687.12,15.0,1
81,seeded.user.74@example.com,seeded_user_74,user,81.0,3327.3,17.0,0
82,seeded.user.75@example.com,seeded_user_75,user,82.0,1113.71,10.0,2
83,seeded.user.76@example.com,seeded_user_76,user,83.0,1457.03,10.0,2
84,seeded.user.77@example.com,seeded_user_77,user,84.0,4210.85,20.0,0
85,seeded.user.78@example.com,seeded_user_78,user,85.0,1943.47,11.0,1
86,seeded.user.79@example.com,seeded_user_79,user,86.0,1456.66,11.0,2
87,seeded.user.80@example.com,seeded_user_80,user,87.0,2095.19,11.0,1
88,seeded.user.81@example.com,seeded_user_81,user,88.0,1366.1,9.0,2
89,seeded.user.82@example.com,seeded_user_82,user,89.0,2480.23,17.0,1
90,seeded.user.83@example.com,seeded_user_83,user,90.0,2896.09,12.0,0
91,seeded.user.84@example.com,seeded_user_84,user,91.0,2294.2599999999998,14.0,1
92,seeded.user.85@example.com,seeded_user_85,user,92.0,3432.95,12.0,0
93,seeded.user.86@example.com,seeded_user_86,user,93.0,1320.42,6.0,2
94,seeded.user.87@example.com,seeded_user_87,user,94.0,1833.5900000000001,8.0,1
95,seeded.user.88@example.com,seeded_user_88,user,95.0,1405.49,9.0,2
96,seeded.user.89@example.com,seeded_user_89,user,96.0,1737.77,10.0,1
97,seeded.user.90@example.com,seeded_user_90,user,97.0,2366.78,14.0,1
98,seeded.user.91@example.com,seeded_user_91,user,98.0,2434.2200000000003,11.0,1
99,seeded.user.92@example.com,seeded_user_92,user,99.0,2465.63,10.0,1
100,seeded.user.93@example.com,seeded_user_93,user,100.0,1019.26,6.0,2
101,seeded.user.94@example.com,seeded_user_94,user,101.0,2034.96,10.0,1
102,seeded.user.95@example.com,seeded_user_95,user,102.0,2640.23,12.0,1
103,seeded.user.96@example.com,seeded_user_96,user,103.0,2079.79,11.0,1
104,seeded.user.97@example.com,seeded_user_97,user,104.0,1851.95,9.0,1
105,seeded.user.98@example.com,seeded_user_98,user,105.0,2869.96,13.0,0
106,seeded.user.99@example.com,seeded_user_99,user,106.0,1644.81,10.0,2
107,seeded.user.100@example.com,seeded_user_100,user,107.0,3009.82,14.0,0
